 ======== AdaboostLassoCV10 ========
Liquid Phase
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,28.0%,26.329,3670.455,60.584,0.202


 ======== XGBCVLOO ========
Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,12.655,3254.980,57.052,0.039
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,12.0%,8.591,177.846,13.336,0.352

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,45.0%,37.624,16557.759,128.677,0.173
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,44.0%,23.096,1974.007,44.430,-0.788

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,23.0%,22.152,2218.803,47.104,0.533
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,25.0%,22.943,2247.512,47.408,0.512


