# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.670000000000000000e+02	3.490000000000000213e+00	7.528999999999999773e+02	7.518920000000000528e+02	7.247500545518993249e+02
1.670000000000000000e+02	3.419999999999999929e+00	7.506000000000000227e+02	7.495689999999999600e+02	7.243412226608456876e+02
1.670000000000000000e+02	3.220000000000000195e+00	7.437999999999999545e+02	7.428139999999999645e+02	7.231738803994828686e+02
1.670000000000000000e+02	3.040000000000000036e+00	7.371000000000000227e+02	7.365779999999999745e+02	7.221251227977303415e+02
1.670000000000000000e+02	2.819999999999999840e+00	7.297000000000000455e+02	7.287400000000000091e+02	7.208409587999205996e+02
1.670000000000000000e+02	2.629999999999999893e+00	7.222000000000000455e+02	7.217630000000000337e+02	7.197354183169247790e+02
1.670000000000000000e+02	7.459999999999999964e+00	7.157999999999999545e+02	8.595280000000000200e+02	7.484444292882227501e+02
1.670000000000000000e+02	7.330000000000000071e+00	7.102999999999999545e+02	8.565489999999999782e+02	7.476886650346268652e+02
1.670000000000000000e+02	7.269999999999999574e+00	7.082000000000000455e+02	8.551639999999999873e+02	7.473385561256624214e+02
1.670000000000000000e+02	2.240000000000000213e+00	7.071000000000000227e+02	7.067780000000000200e+02	7.174655004832337681e+02
1.670000000000000000e+02	2.120000000000000107e+00	7.022000000000000455e+02	7.019679999999999609e+02	7.167679285309018269e+02
1.670000000000000000e+02	2.100000000000000089e+00	7.015000000000000000e+02	7.011570000000000391e+02	7.166513063791531977e+02
1.670000000000000000e+02	2.069999999999999840e+00	7.002000000000000455e+02	2.797200000000000273e+02	7.164771546273359490e+02
1.700000000000000000e+02	4.000000000000000000e+00	7.263999999999999773e+02	7.250960000000000036e+02	6.898444682712594158e+02
1.700000000000000000e+02	3.810000000000000053e+00	7.192999999999999545e+02	7.183139999999999645e+02	6.887388911719496036e+02
1.700000000000000000e+02	3.609999999999999876e+00	7.115000000000000000e+02	7.109690000000000509e+02	6.875762881668316595e+02
1.700000000000000000e+02	3.410000000000000142e+00	7.042000000000000455e+02	7.033959999999999582e+02	6.864120979952971311e+02
1.700000000000000000e+02	3.220000000000000195e+00	6.967000000000000455e+02	6.959740000000000464e+02	6.853080814896057973e+02
1.700000000000000000e+02	3.029999999999999805e+00	6.887999999999999545e+02	6.883089999999999691e+02	6.842054870857572269e+02
1.700000000000000000e+02	2.830000000000000071e+00	6.803999999999999773e+02	6.799569999999999936e+02	6.830452398324569003e+02
1.700000000000000000e+02	2.629999999999999893e+00	6.713999999999999773e+02	6.712830000000000155e+02	6.818871149568036572e+02
1.700000000000000000e+02	2.430000000000000160e+00	6.623999999999999773e+02	6.622549999999999955e+02	6.807291035129720740e+02
1.730000000000000000e+02	4.000000000000000000e+00	6.802000000000000455e+02	6.790639999999999645e+02	6.519712324472022829e+02
1.730000000000000000e+02	3.810000000000000053e+00	6.718999999999999773e+02	6.711929999999999836e+02	6.508721740720646949e+02
1.730000000000000000e+02	3.609999999999999876e+00	6.632000000000000455e+02	6.626040000000000418e+02	6.497152289160576402e+02
1.730000000000000000e+02	3.419999999999999929e+00	5.547000000000000455e+02	6.541280000000000427e+02	6.489857154059545792e+02
1.730000000000000000e+02	3.220000000000000195e+00	6.452000000000000455e+02	6.448350000000000364e+02	6.474632952631480975e+02
1.730000000000000000e+02	3.020000000000000018e+00	6.353999999999999773e+02	6.351190000000000282e+02	6.463107277072557508e+02
1.730000000000000000e+02	2.819999999999999840e+00	6.248999999999999773e+02	6.249249999999999545e+02	6.451608787901195683e+02
1.730000000000000000e+02	2.629999999999999893e+00	6.140000000000000000e+02	6.147380000000000564e+02	6.440720849525387166e+02
1.770000000000000000e+02	4.000000000000000000e+00	6.122000000000000455e+02	6.112269999999999754e+02	6.015076320608318383e+02
1.770000000000000000e+02	3.810000000000000053e+00	6.013999999999999773e+02	6.011219999999999573e+02	6.004235059290650725e+02
1.770000000000000000e+02	3.620000000000000107e+00	5.903999999999999773e+02	5.904729999999999563e+02	5.993403572067221603e+02
1.770000000000000000e+02	3.609999999999999876e+00	5.900000000000000000e+02	5.898959999999999582e+02	5.992825900471060550e+02
1.770000000000000000e+02	3.410000000000000142e+00	5.780000000000000000e+02	5.779700000000000273e+02	5.981443791845096030e+02
1.770000000000000000e+02	3.220000000000000195e+00	5.650000000000000000e+02	5.658759999999999764e+02	5.970700662176349169e+02
1.770000000000000000e+02	3.020000000000000018e+00	5.510000000000000000e+02	5.521810000000000400e+02	5.959407428227889341e+02
1.770000000000000000e+02	2.979999999999999982e+00	5.478999999999999773e+02	5.493049999999999500e+02	5.957161869752743542e+02
1.800000000000000000e+02	4.000000000000000000e+00	5.532999999999999545e+02	5.527440000000000282e+02	5.637112938189384295e+02
1.800000000000000000e+02	3.910000000000000142e+00	5.470000000000000000e+02	5.466810000000000400e+02	5.632058992964022082e+02
1.800000000000000000e+02	3.810000000000000053e+00	5.400000000000000000e+02	5.396860000000000355e+02	5.626443923956943536e+02
