Temperature (K),Pressure (MPa),Cp (J/mol*K), DOI
122.04,3.1,56.2616,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
127.59,3.1,57.3359,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
133.15,3.1,58.3429,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
138.71,3.1,59.6185,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
144.26,3.1,60.9613,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
149.82,3.1,62.8412,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
155.37,3.1,65.191,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
160.93,3.1,68.5479,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
166.48,3.1,73.7175,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
172.04,3.1,82.7812,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
177.59,3.1,106.0109,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
183.15,3.1,74.9931,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
188.71,3.1,61.9684,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
194.26,3.1,54.9189,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
199.82,3.1,50.7563,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
205.37,3.1,47.8694,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
210.93,3.1,45.7881,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
216.48,3.1,44.2439,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
222.04,3.1,43.1026,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
227.59,3.1,42.1627,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
233.15,3.1,41.357,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
238.71,3.1,40.7528,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
244.26,3.1,40.2157,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
249.82,3.1,39.8128,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
255.37,3.1,39.5443,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
260.93,3.1,39.3429,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
266.48,3.1,39.1415,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
272.04,3.1,39.0072,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
277.59,3.1,38.94,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
283.15,3.1,38.8729,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
116.48,3.79,55.1874,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
122.04,3.79,56.1274,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
127.59,3.79,57.0002,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
133.15,3.79,58.0072,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
138.71,3.79,59.4171,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
144.26,3.79,60.4913,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
149.82,3.79,62.1027,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
155.37,3.79,64.1168,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
160.93,3.79,67.0037,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
166.48,3.79,71.5691,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
172.04,3.79,78.8872,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
177.59,3.79,93.6575,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
183.15,3.79,132.3961,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
188.71,3.79,100.1699,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
194.26,3.79,73.2476,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
