Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
238.710	1.03000	8.65680	0.115516	10.3950	12.3038	79.4062	26.0703	35.8979	396.831	6.75101	9.22585	0.0270906	vapor
244.260	1.03000	8.43559	0.118545	10.5441	12.5029	80.2311	26.1526	35.8831	401.897	6.45688	9.41749	0.0277449	vapor
249.820	1.03000	8.22602	0.121565	10.6937	12.7025	81.0388	26.2478	35.8904	406.850	6.17998	9.60800	0.0284091	vapor
255.370	1.03000	8.02781	0.124567	10.8434	12.9017	81.8276	26.3551	35.9182	411.679	5.91962	9.79674	0.0290809	vapor
260.930	1.03000	7.83934	0.127562	10.9937	13.1015	82.6018	26.4747	35.9653	416.407	5.67345	9.98441	0.0297631	vapor
266.480	1.03000	7.66047	0.130540	11.1443	13.3013	83.3594	26.6057	36.0303	421.022	5.44108	10.1704	0.0304533	vapor
272.040	1.03000	7.48985	0.133514	11.2957	13.5019	84.1042	26.7484	36.1123	425.547	5.22059	10.3553	0.0311545	vapor
277.590	1.03000	7.32745	0.136473	11.4475	13.7026	84.8345	26.9018	36.2100	429.968	5.01182	10.5386	0.0318643	vapor
283.150	1.03000	7.17211	0.139429	11.6003	13.9042	85.5537	27.0661	36.3231	434.308	4.81317	10.7208	0.0325855	vapor
116.480	2.07000	417.196	0.00239695	0.234814	0.314413	2.09700	32.7316	56.0284	1309.28	-0.404260	108.766	0.179189	liquid
122.040	2.07000	408.867	0.00244578	0.546665	0.627886	4.72583	32.3475	56.7517	1253.31	-0.376557	97.3938	0.171360	liquid
127.590	2.07000	400.229	0.00249857	0.862197	0.945171	7.26815	31.9846	57.6113	1196.01	-0.343293	87.4689	0.163478	liquid
133.150	2.07000	391.187	0.00255632	1.18340	1.26829	9.74688	31.6438	58.6551	1136.92	-0.302745	78.6891	0.155534	liquid
138.710	2.07000	381.673	0.00262004	1.51086	1.59787	12.1717	31.3296	59.9464	1075.76	-0.252700	70.8739	0.147550	liquid
144.260	2.07000	371.591	0.00269113	1.84555	1.93492	14.5540	31.0481	61.5798	1012.16	-0.189957	63.8750	0.139529	liquid
149.820	2.07000	360.744	0.00277205	2.19091	2.28297	16.9210	30.8066	63.7189	945.141	-0.109152	57.5304	0.131411	liquid
155.370	2.07000	348.926	0.00286594	2.54906	2.64424	19.2885	30.6200	66.6322	873.837	-0.00209852	51.7372	0.123162	liquid
160.930	2.07000	335.695	0.00297889	2.92678	3.02570	21.7003	30.5136	70.8795	796.150	0.147092	46.3447	0.114642	liquid
