Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
280.000	10.5600	91.1481	0.0109712	10.1141	11.9727	60.9518	28.8533	53.1501	426.975	3.54325	13.9229	0.0449536	supercritical
280.000	10.5700	91.2491	0.0109590	10.1125	11.9708	60.9388	28.8549	53.1700	427.024	3.54091	13.9286	0.0449739	supercritical
280.000	10.5900	91.4513	0.0109348	10.1093	11.9670	60.9128	28.8579	53.2099	427.122	3.53622	13.9400	0.0450146	supercritical
280.000	10.6000	91.5523	0.0109227	10.1077	11.9652	60.8999	28.8595	53.2298	427.172	3.53387	13.9457	0.0450349	supercritical
280.000	10.6200	91.7545	0.0108986	10.1046	11.9614	60.8739	28.8625	53.2695	427.271	3.52917	13.9571	0.0450757	supercritical
280.000	10.6600	92.1590	0.0108508	10.0982	11.9539	60.8222	28.8686	53.3489	427.472	3.51975	13.9800	0.0451573	supercritical
280.000	10.7000	92.5636	0.0108034	10.0919	11.9464	60.7705	28.8747	53.4281	427.675	3.51032	14.0030	0.0452391	supercritical
280.000	10.7400	92.9683	0.0107564	10.0856	11.9389	60.7190	28.8808	53.5070	427.881	3.50088	14.0260	0.0453211	supercritical
280.000	10.7900	93.4743	0.0106981	10.0777	11.9295	60.6549	28.8883	53.6054	428.141	3.48905	14.0550	0.0454238	supercritical
280.000	10.8300	93.8793	0.0106520	10.0713	11.9221	60.6037	28.8943	53.6839	428.352	3.47956	14.0782	0.0455062	supercritical
280.000	10.8900	94.4870	0.0105835	10.0619	11.9109	60.5272	28.9032	53.8012	428.674	3.46531	14.1132	0.0456301	supercritical
280.000	10.9400	94.9935	0.0105270	10.0540	11.9015	60.4637	28.9106	53.8985	428.945	3.45341	14.1424	0.0457336	supercritical
280.000	10.9900	95.5002	0.0104712	10.0461	11.8922	60.4004	28.9179	53.9955	429.221	3.44148	14.1718	0.0458374	supercritical
280.000	11.0500	96.1084	0.0104049	10.0366	11.8811	60.3248	28.9266	54.1113	429.557	3.42714	14.2072	0.0459623	supercritical
280.000	11.5000	100.673	0.00993312	9.96574	11.7983	59.7670	28.9899	54.9608	432.254	3.31870	14.4777	0.0469101	supercritical
280.000	12.0000	105.744	0.00945681	9.88750	11.7081	59.1671	29.0556	55.8591	435.618	3.19678	14.7883	0.0479830	supercritical
280.000	12.4800	110.598	0.00904176	9.81303	11.6233	58.6101	29.1140	56.6686	439.210	3.07894	15.0958	0.0490279	supercritical
280.000	13.0000	115.827	0.00863355	9.73325	11.5338	58.0273	29.1721	57.4795	443.498	2.95110	15.4382	0.0501712	supercritical
280.000	13.5000	120.813	0.00827726	9.65759	11.4503	57.4867	29.2230	58.1880	448.001	2.82865	15.7756	0.0512761	supercritical
280.000	13.9300	125.057	0.00799633	9.59347	11.3805	57.0370	29.2630	58.7381	452.163	2.72422	16.0715	0.0522271	supercritical
280.000	14.4700	130.319	0.00767350	9.51435	11.2957	56.4918	29.3085	59.3482	457.752	2.59479	16.4494	0.0534175	supercritical
280.000	15.0000	135.395	0.00738579	9.43833	11.2157	55.9775	29.3483	59.8585	463.609	2.47024	16.8260	0.0545770	supercritical
280.000	15.5000	140.095	0.00713802	9.36824	11.1432	55.5108	29.3817	60.2602	469.449	2.35550	17.1854	0.0556592	supercritical
280.000	16.0000	144.699	0.00691090	9.29981	11.0737	55.0615	29.4114	60.5867	475.571	2.24383	17.5477	0.0567271	supercritical
280.000	16.5100	149.290	0.00669838	9.23179	11.0060	54.6206	29.4384	60.8462	482.080	2.13345	17.9193	0.0577993	supercritical
280.000	17.0000	153.595	0.00651061	9.16817	10.9438	54.2132	29.4613	61.0299	488.561	2.03099	18.2774	0.0588119	supercritical
280.000	17.5000	157.879	0.00633398	9.10504	10.8833	53.8132	29.4821	61.1566	495.377	1.93026	18.6431	0.0598263	supercritical
280.000	17.9900	161.966	0.00617415	9.04493	10.8269	53.4361	29.5003	61.2267	502.234	1.83540	19.0011	0.0608013	supercritical
280.000	18.5100	166.182	0.00601751	8.98304	10.7700	53.0512	29.5175	61.2490	509.675	1.73897	19.3799	0.0618154	supercritical
280.000	19.0100	170.118	0.00587827	8.92535	10.7181	52.6956	29.5322	61.2259	516.966	1.65037	19.7425	0.0627704	supercritical
280.000	19.4700	173.638	0.00575911	8.87384	10.6727	52.3803	29.5445	61.1711	523.774	1.57241	20.0743	0.0636321	supercritical
280.000	19.8400	176.399	0.00566895	8.83346	10.6378	52.1345	29.5537	61.1067	529.308	1.51212	20.3397	0.0643136	supercritical
300.000	0.100000	0.644254	1.55218	12.1746	14.6647	107.409	27.4788	35.8687	449.742	4.32164	11.1355	0.0342140	vapor
300.000	0.200000	1.29069	0.774778	12.1633	14.6492	101.608	27.4945	35.9605	449.427	4.31620	11.1486	0.0342801	vapor
300.000	0.300000	1.93932	0.515645	12.1519	14.6336	98.1989	27.5103	36.0530	449.116	4.31069	11.1618	0.0343457	vapor
300.000	0.400000	2.59014	0.386079	12.1406	14.6181	95.7692	27.5261	36.1463	448.808	4.30510	11.1753	0.0344114	vapor
300.000	0.500000	3.24317	0.308340	12.1292	14.6025	93.8760	27.5419	36.2402	448.504	4.29943	11.1890	0.0344775	vapor
