# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.770000000000000000e+02	3.620000000000000107e+00	5.903999999999999773e+02	5.904729999999999563e+02	5.936022523451429151e+02
1.770000000000000000e+02	3.609999999999999876e+00	5.900000000000000000e+02	5.898959999999999582e+02	5.935376590234268406e+02
1.770000000000000000e+02	3.410000000000000142e+00	5.780000000000000000e+02	5.779700000000000273e+02	5.921843117323301158e+02
1.770000000000000000e+02	3.220000000000000195e+00	5.650000000000000000e+02	5.658759999999999764e+02	5.908986318057877725e+02
1.770000000000000000e+02	3.020000000000000018e+00	5.510000000000000000e+02	5.521810000000000400e+02	5.896042263526519491e+02
1.770000000000000000e+02	2.979999999999999982e+00	5.478999999999999773e+02	5.493049999999999500e+02	5.893467711850403248e+02
1.800000000000000000e+02	4.000000000000000000e+00	5.532999999999999545e+02	5.527440000000000282e+02	5.579114482749741910e+02
1.800000000000000000e+02	3.910000000000000142e+00	5.470000000000000000e+02	5.466810000000000400e+02	5.573908390940250683e+02
1.800000000000000000e+02	3.810000000000000053e+00	5.400000000000000000e+02	5.396860000000000355e+02	5.567469524363054916e+02
1.800000000000000000e+02	3.720000000000000195e+00	5.328999999999999773e+02	5.331330000000000382e+02	5.561379485425718485e+02
1.800000000000000000e+02	3.609999999999999876e+00	5.242999999999999545e+02	5.247549999999999955e+02	5.555989691216627762e+02
1.800000000000000000e+02	3.520000000000000018e+00	5.167999999999999545e+02	5.175579999999999927e+02	5.550846587361297679e+02
1.800000000000000000e+02	3.419999999999999929e+00	5.073999999999999773e+02	5.091510000000000105e+02	5.544403271912788114e+02
1.800000000000000000e+02	3.350000000000000089e+00	5.008999999999999773e+02	5.029739999999999895e+02	5.540467802597236187e+02
