Temperature (K),Pressure (MPa),Volume (m3/kg),Reference
179.526,11.6557,0.003053361199854676,van Itterbeek-1963
179.526,13.2223,0.0030084804973687347,van Itterbeek-1963
179.526,14.9605,0.0029655911357294703,van Itterbeek-1963
179.526,16.6544,0.002924195461131646,van Itterbeek-1963
179.526,18.9445,0.002883912852352575,van Itterbeek-1963
179.526,21.2479,0.0028446341393145204,van Itterbeek-1963
179.526,23.7559,0.0028062341456891026,van Itterbeek-1963
179.526,26.5059,0.002768697219978803,van Itterbeek-1963
179.526,29.5185,0.0027928583751460536,van Itterbeek-1963
183.221,5.3258,0.0038194512982376062,van Itterbeek-1963
188.221,5.7034,0.003741651141558305,van Itterbeek-1963
188.221,6.1386,0.003666957207020088,van Itterbeek-1963
188.221,6.6632,0.003595643276978379,van Itterbeek-1963
188.221,7.2749,0.003651664615697058,van Itterbeek-1963
188.221,7.9651,0.003462909208864589,van Itterbeek-1963
188.221,8.7679,0.003401059400073797,van Itterbeek-1963
183.221,8.8439,0.0033955763300839155,van Itterbeek-1963
188.221,9.7425,0.0033367840574437223,van Itterbeek-1963
188.221,10.7955,0.0032811150866997258,van Itterbeek-1963
188.221,11.9512,0.0032277409721343767,van Itterbeek-1963
133.221,13.1343,0.003176124084307544,van Itterbeek-1963
133.221,14.5061,0.003126743550372276,van Itterbeek-1963
188.221,16.1461,0.0030785557155350936,van Itterbeek-1963
188.221,17.8513,0.0030348561606250747,van Itterbeek-1963
188.221,19.7206,0.0029905855887173444,van Itterbeek-1963
188.221,21.7789,0.002947755270801609,van Itterbeek-1963
188.221,24.3259,0.002905795808496478,van Itterbeek-1963
138.221,26.4984,0.0028653301368627183,van Itterbeek-1963
188.221,29.1744,0.0028268089038510228,van Itterbeek-1963
273.15,1.6376,0.0831255195344971,Douslin-1964
298.142,1.802,0.0831255195344971,Douslin-1964
303.143,1.8347,0.0831255195344971,Douslin-1964
323.14,1.9656,0.0831255195344971,Douslin-1964
398.143,2.1292,0.0831255195344971,Douslin-1964
373.15,2.2925,0.0831255195344971,Douslin-1964
398.16,2.4557,0.0831255195344971,Douslin-1964
273.15,2.1558,0.06234413965087283,Douslin-1964
298.142,2.3786,0.06234413965087283,Douslin-1964
303.143,2.4232,0.06234413965087283,Douslin-1964
323.14,2.6006,0.06234413965087283,Douslin-1964
348.143,2.8221,0.06234413965087283,Douslin-1964
373.15,3.0431,0.06234413965087283,Douslin-1964
398.16,3.2637,0.06234413965087283,Douslin-1964
273.15,3.1539,0.04156275976724855,Douslin-1964
298.142,3.4993,0.04156275976724855,Douslin-1964
303.143,3.5685,0.04156275976724855,Douslin-1964
323.14,3.8427,0.04156275976724855,Douslin-1964
348.143,4.1852,0.04156275976724855,Douslin-1964
373.15,4.5267,0.04156275976724855,Douslin-1964
398.16,4.8676,0.04156275976724855,Douslin-1964
273.15,4.1053,0.031172069825436414,Douslin-1964
298.142,4.5804,0.031172069825436414,Douslin-1964
303.143,4.6753,0.031172069825436414,Douslin-1964
