# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.343280000000000030e+02	3.102899999999999991e+01	2.377995264574299904e-03	2.381470000000000115e-03	8.089395691695186463e-04
1.390610000000000070e+02	1.252399999999999958e+00	2.626741760940699919e-03	2.633889999999999842e-03	3.771165173175189400e-03
1.390610000000000070e+02	3.825400000000000134e+00	2.598127157705599870e-03	2.604920000000000152e-03	-3.647014048376764905e-03
1.390610000000000070e+02	7.489999999999999991e-01	2.569641974250499832e-03	2.639990000000000045e-03	7.341282259206789035e-03
1.390610000000000070e+02	9.876099999999999213e+00	2.542209938625300016e-03	2.547950000000000215e-03	4.926229167477619297e-03
1.390610000000000070e+02	1.323000000000000043e+01	2.515895401990799786e-03	2.521219999999999798e-03	-6.031710383592209235e-03
1.390610000000000070e+02	1.690009999999999835e+01	2.490458257468900014e-03	2.494890000000000042e-03	3.471193786590793390e-03
1.390610000000000070e+02	2.096620000000000061e+01	2.464838244398599894e-03	2.468559999999999852e-03	-1.848179134124681988e-03
1.393609999999999900e+02	2.549690000000000012e+01	2.439405865723099937e-03	2.444270000000000123e-03	4.073986866991827216e-03
1.390610000000000070e+02	3.060000000000000142e+01	2.412092145972199835e-03	2.415140000000000082e-03	-1.082628989909730985e-03
1.455560000000000116e+02	1.299600000000000088e+00	2.712407314872100194e-03	2.720690000000000001e-03	3.849545699595197101e-03
1.455560000000000116e+02	3.527600000000000069e+00	2.680050538892200188e-03	2.688380000000000197e-03	3.956647450004124877e-03
1.455560000000000116e+02	6.036800000000000388e+00	2.648940521801999848e-03	2.656459999999999811e-03	1.182521620062661205e-02
1.455560000000000116e+02	8.736100000000000421e+00	2.617895729966999898e-03	2.626129999999999957e-03	-5.225637713458450295e-05
1.455560000000000116e+02	1.171860000000000035e+01	2.588655336032500039e-03	2.596359999999999814e-03	7.043250356270777668e-03
1.455560000000000116e+02	1.491310000000000002e+01	2.560102974305100004e-03	2.567879999999999815e-03	1.834041256572258027e-04
1.455560000000000116e+02	1.840180000000000149e+01	2.532235304785199984e-03	2.539950000000000020e-03	-4.586328357598992711e-03
1.455560000000000116e+02	2.225829999999999842e+01	2.504172928726599787e-03	2.512180000000000142e-03	1.791539536912557795e-03
1.455560000000000116e+02	2.658909999999999840e+01	2.475997825638100169e-03	2.484099999999999937e-03	2.753375522826534416e-03
1.455560000000000116e+02	3.145810000000000173e+01	2.447690264495999950e-03	2.455689999999999956e-03	6.539576291296367305e-03
1.507500000000000000e+02	3.102100000000000080e+00	2.756675214601900150e-03	2.768290000000000074e-03	3.272856683600250394e-03
1.507500000000000000e+02	5.188500000000000334e+00	2.747260838086800112e-03	2.734700000000000065e-03	3.353276463997273416e-03
1.507500000000000000e+02	7.511499999999999844e+00	2.691144918971899794e-03	2.701900000000000135e-03	5.083811052314382573e-03
1.507500000000000000e+02	1.003919999999999924e+01	2.660039324106099924e-03	2.670399999999999857e-03	-2.381291220066820979e-02
1.507500000000000000e+02	1.280710000000000015e+01	2.630609913747999906e-03	2.639760000000000110e-03	2.170262013103635423e-03
1.507500000000000000e+02	1.574540000000000006e+01	2.601683414049600195e-03	2.610690000000000146e-03	8.396799876565566589e-03
1.507500000000000000e+02	1.900000000000000000e+01	2.573566743621099814e-03	2.581809999999999921e-03	3.567924755363054146e-02
1.507500000000000000e+02	2.261370000000000147e+01	2.544949612644399964e-03	2.552979999999999833e-03	-4.798287304151438448e-03
1.507500000000000000e+02	2.664049999999999940e+01	2.516585987772000047e-03	2.524090000000000101e-03	1.248661579389832854e-03
1.507500000000000000e+02	3.098620000000000019e+01	2.488033157639700076e-03	2.495990000000000014e-03	-7.000304676684609984e-03
1.582379999999999995e+02	2.289499999999999869e+00	2.895444860665200189e-03	2.915360000000000087e-03	2.849801298695530446e-03
1.582379999999999995e+02	3.962699999999999889e+00	2.855356513475299906e-03	2.874020000000000134e-03	5.252594830132489845e-03
1.582379999999999995e+02	5.895100000000000229e+00	2.816274021930199965e-03	2.833340000000000164e-03	-2.561332831495261031e-03
1.582379999999999995e+02	8.025100000000000122e+00	2.778618433347999905e-03	2.794769999999999806e-03	8.544880542029419102e-03
1.582379999999999995e+02	1.038979999999999926e+01	2.742897478183300031e-03	2.757599999999999808e-03	4.387008230886287052e-04
1.582379999999999995e+02	1.293580000000000041e+01	2.708600981482099830e-03	2.722570000000000112e-03	4.516920926682363446e-03
1.582379999999999995e+02	1.576249999999999929e+01	2.675622281246600124e-03	2.688269999999999983e-03	-3.132918104817632166e-03
1.582379999999999995e+02	1.890800000000000125e+01	2.643515449201200036e-03	2.654510000000000116e-03	-3.960327442824040922e-04
1.582379999999999995e+02	2.236240000000000094e+01	2.611601024248999797e-03	2.621599999999999972e-03	1.140533159510594141e-02
1.582379999999999995e+02	2.617229999999999990e+01	2.579487101388200018e-03	2.589259999999999912e-03	5.128555428257047799e-03
1.582379999999999995e+02	3.045909999999999940e+01	2.547695197985800058e-03	2.556810000000000072e-03	1.383536941459962560e-02
1.583160000000000025e+02	3.055600000000000094e+00	3.046572205948699930e-03	2.897069999999999854e-03	8.808561860035292457e-03
1.588160000000000025e+02	4.220100000000000406e+00	3.002496599942800198e-03	2.878400000000000142e-03	2.613910326972175568e-03
1.588160000000000025e+02	5.626900000000000013e+00	2.959973205848899849e-03	2.847989999999999897e-03	-2.363544306462912747e-03
1.588160000000000025e+02	7.146099999999999675e+00	2.919143121733900215e-03	2.818689999999999998e-03	4.162147797756081402e-03
1.658160000000000025e+02	8.763899999999999579e+00	2.879557132406100010e-03	2.896580000000000162e-03	7.011862826334480658e-03
1.658160000000000025e+02	1.062759999999999927e+01	2.842144260967200114e-03	2.858999999999999996e-03	5.824253546910060364e-03
1.658160000000000025e+02	1.254840000000000089e+01	2.805855254255200121e-03	2.824870000000000159e-03	-6.585936167437623362e-03
1.658160000000000025e+02	1.467079999999999984e+01	2.770702880329599903e-03	2.791350000000000168e-03	-5.512693346929720128e-03
1.658160000000000025e+02	1.696349999999999980e+01	2.736912930807799960e-03	2.759039999999999930e-03	2.440165955777491222e-03
1.658160000000000025e+02	1.949030000000000129e+01	2.703620618437999924e-03	2.727149999999999800e-03	4.705733846515598728e-02
1.658160000000000025e+02	2.524309999999999832e+01	2.638347001729600058e-03	2.665369999999999805e-03	-2.366555914176365905e-03
1.658160000000000025e+02	2.888589999999999947e+01	2.606981582185999898e-03	2.632049999999999928e-03	7.355563305753515246e-03
1.710200000000000102e+02	3.051200000000000134e+00	3.203608298350099984e-03	3.210269999999999877e-03	-9.667196715447690103e-04
1.710200000000000102e+02	3.962000000000000188e+00	3.155419107940799980e-03	3.160300000000000002e-03	-6.776840209345991184e-04
1.710200000000000102e+02	4.988100000000000200e+00	3.106675353096599850e-03	3.113279999999999954e-03	-2.505070528642176775e-03
1.710200000000000102e+02	6.185599999999999987e+00	3.059970239219000042e-03	3.066950000000000145e-03	2.276484654985964917e-02
1.710200000000000102e+02	7.531600000000000072e+00	3.015027693994100019e-03	3.022599999999999853e-03	-7.980508597013741268e-04
1.710200000000000102e+02	9.017300000000000537e+00	2.971570321106199990e-03	2.980500000000000076e-03	9.290832800852698997e-03
1.710200000000000102e+02	1.062930000000000064e+01	2.930490763544400020e-03	2.940809999999999865e-03	-4.752043133486608117e-03
1.710200000000000102e+02	1.240799999999999947e+01	2.891268783460099970e-03	2.902459999999999936e-03	-6.738959014023070127e-03
1.710200000000000102e+02	1.428589999999999982e+01	2.853748885439800174e-03	2.866720000000000119e-03	-1.136502101223277328e-03
